Election Year;Eligible Voters;Voters;Postal Voters;CDUCSU - Seats;SPD - Seats;GRUENE - Seats;DIE LINKE - Seats;AFD - Seats;FDP - Seats;Other Parties - Seats;CDUCSU;SPD;GRUENE;DIE LINKE;AFD;FDP;Other Parties;Number of Parties;Seats Germany;Total Seats
1979;42751940;28098872;0;40;34;0;0;0;4;0;49,2;40,8;3,2;0;0;6;0,8;8;78;410
1984;44465989;25238754;0;39;32;7;0;0;0;0;45,9;37,4;8,2;0;0;4,8;3,7;13;78;434
1989;45773179;28508598;0;31;30;7;0;0;4;6;37,8;37,3;8,4;0;0;5,6;10,9;21;78;518
1994;60473927;36295529;10,9;47;40;12;0;0;0;0;38,8;32,2;10,1;4,7;0;4,1;10,2;25;99;567
1999;60786904;27468932;14;44;33;7;6;0;0;0;48,7;30,7;6,4;5,8;0;3;5,4;22;90;626
2004;61682394;26523104;15,5;49;23;13;7;0;7;0;44,5;21,5;11,9;6,1;0;6,1;9,8;23;99;732
2009;62222873;26923614;18,4;42;23;14;8;0;12;0;37,9;20,8;12,1;7,5;0;11;10,8;31;99;736
2014;61998824;29843798;25,3;34;27;11;7;7;3;7;35,4;27,3;10,7;7,4;7,1;3,4;8,9;24;96;751
2019;61600263;37807746;28,4;29;16;21;5;11;5;9;28,9;15,8;20,5;5,5;11;5,4;12,9;40;96;751
2024;61963020;40114939;37,7;29;14;12;3;15;5;18;30;13,9;11,9;2,7;15,9;5,2;20,3;34;96;720
